upcx,title_hd,title_wm,title_eb,price_hd,price_wm,price_eb,cheapest,pct_cheapest,dollars_cheapest
x0879288000411,Wet & Forget Miss Muffet's Revenge 64 oz. Ready-to-Use Perimeter and Indoor Spider Killer,Miss Muffet's Revenge Spider Killer,4 pack 1/2 gallons Wet & Forget USA Miss Muffets Revenge Spider Killer New,16.41,16.41,23.58,HomeDepot,1.0,0.0
x053891102087,KitchenAid Pasta Roller Attachment for KitchenAid Stand Mixer,"FoodSaver 11"" x 16' Heat-Seal Rolls - 2 Pack","FoodSaver 11"" Roll 2pk Standard Packaging 11"" Roll 2 Pack",51.99,27.15,29.82,Walmart,0.9104627766599597,2.6700000000000017
x034449810395,0,"Delta 35706LF-SS-ECO Zella 8"" Widespread 2 Handle Bathroom Faucet Brushed Nickel","Delta Widespread Brushed Nickel 35706LF-SS-ECO Zella 8"" Bathroom Faucet H4",0,103.95,109.58,HomeDepot,0.9486220113159336,5.6299999999999955
x0635510409816,LG Electronics Fresh Air Replacement Filter (3-Pack),LG ADQ73214404 Refrigerator Air Filter (LT120F) 3 Pack,LG ADQ73214404 Refrigerator Air Filter (LT120F) (3-Pack),33.99,12.89,13.45,Walmart,0.9583643122676581,0.5599999999999987
x042049335590,Kwikset 6 Way Adjustable Lock Dead Latch,Kwikset 81825-001 Polished Brass Adjustable Entry Door Latch,0,7.47,6.52,0,Walmart,0.8728246318607764,0.9500000000000002
x0857749002198,Brentwood Double Burner in White,"Brentwood Electric Countertop Double Burner, White","Brentwood Electric 1500W Double Burner Spiral White, NEW",35.52,24.99,41.3,Walmart,0.7035472972972971,10.530000000000005
x047871061372,0,"Carbon Monoxide Alarm,Electrochemical KIDDE KN-COB-DP2",Kidde KN-COB-LCB-A Tamper Resistant Plug-In Carbon Monoxide Alarm NEW,0,29.12,26.67,Walmart,0.9158653846153847,2.4499999999999993
x0810829024107,Sun Joe 10 in. Cleaning Attachment for SPX Series Pressure Washers,"Sun Joe Surface, Deck + Patio Cleaning Attachment for SPX Series Pressure Washers | 10 Inch",Sun Joe SPX-PCA10 10-Inch Surface Deck Cleaning Attachment for SPX Series,15.65,15.65,20.83,HomeDepot,1.0,0.0
x0697285013728,SharkBite 1/2 in. Washing Machine Outlet Box with Water Hammer Arrestors,"Sharkbite 25031 Brass Adapter 1/2"" CTS Dia. x 3/4"" Machine Hose Thread","SharkBite 25031 Washing Machine Outlet Box Water Hammer Arrestor, 1/2-Inch",64.99,71.81,70.64,HomeDepot,0.9200169875424687,5.650000000000006
x0879399001819,Simpson Dial-N-Wash Professional Pressure Regulator for Gas Pressure Washers,0,SIMPSON Cleaning 82235 Dial-N-Wash Professional Pressure Regulator for Gas,20.91,0,27.45,HomeDepot,0.7617486338797814,6.539999999999999
x0735078016584,0,VTech DS6151 Two-Line Expandable Cordless Phone with Answering System and Caller ID,Vtech DS6151 +DS6101-(2) 2-Line Expandable Corded/Cordless Phone,0,63.99,110.72,HomeDepot,0.5779443641618497,46.73
x0753759074654,0,Garmin 010-11023-00 Bike Mount,Garmin Handlebar/ATV Mount (320 Handheld or ALPHA Handheld),0,9.83,14.21,HomeDepot,0.6917663617171006,4.380000000000001
x0043180153180,GE In-Wall Digital Countdown Timer,"GE Push Button In-Wall Digital Countdown Timer, 15318",GE In-Wall Digital Countdown Timer,21.06,21.06,58.55,HomeDepot,1.0,0.0
x043156171514,0,ADDISON F60vaddxacc619 Handleset Snkl,Schlage Addison Front Entry Door Handleset Lock Accent Lever in Satin Nickel,0,183.49,123.49,Walmart,0.6730067033625811,60.000000000000014
x0665679017782,Magic Chef Compact Laundry Appliance Stand,Magic Chef Compact Laundry/ Space Saver Storage Rack,Compact Laundry Appliance Stand FREE SHIPPING NEW,73.76,77.62,89.87,HomeDepot,0.9502705488276217,3.8599999999999994
x0790272356263,BARSKA Blueline 10x21 Ruby Lens Binoculars,Barska 10 x 21mm Blueline Mini Porro Binoculars,"Barska 10X21 Mini Porro Binoculars Blue Line w/ Case & Wrist Strap, AB10290",18.83,12.87,50.02,Walmart,0.6834838024429103,5.959999999999999
x0737888132300,"Milescraft PocketJig200 Complete Pocket Hole Kit with Jig, Bit, Screws and Drivers",Milescraft 1323 PocketJig200,Milescraft 13230003 PocketJig200 Kit - Complete Pocket Hole Kit with Jig Bit,26.99,26.99,33.07,HomeDepot,1.0,0.0
x0857209004113,0,"PlayTape - Toy Car Track - Create Your Own Roads Anytime, Anywhere (Classic Road Black 30'x2"")","PlayTape Choose Color Single Roll 30'x2"" - Road Car Tape Great for Kids Sticker",0,3.97,11.5,HomeDepot,0.34521739130434786,7.529999999999999
x070042195859,0,Bernzomatic 328643 (LTR200) Refillable Utility Butane Lighter,FLexible Stem Pro LIGHTER TORCH Butane Refillable Windproof BernzOmatic BZLTR200,0,7.99,25.64,HomeDepot,0.31162246489859596,17.65
x0895916001124,GermGuardian Pluggable UV Sanitizer and Odor Reducer,Germguardian Pluggable UV-C Air Sanitizer,"NEW LISTINGGermGuardian GG1000 Small Air Purifier, Pluggable UVC Air Sanitizer Kills Germs",33.99,34.98,41.84,HomeDepot,0.9716981132075473,0.9899999999999949
x0031398250500,Unique Loom Chromatic Joyous Multi 9' 0 x 12' 0 Area Rug,Six: Season 1 ( (DVD)),Six DVD,235.23,11.99,22.72,Walmart,0.5277288732394366,10.729999999999999
x0855819003472,"GreenTech Environmental Compact, Portable, Plug-In Air Purifier",GreenTech Environmental pureAir 50,Ionizer Air Purifier Greentech PureAir50 Plug-In Ion Generator New Free Shipping,49.00,49.00,53.49,HomeDepot,1.0,0.0
x0037000928157,0,"Swiffer Sweeper Dry + Wet Sweeping Kit (1 Sweeper, 7 Dry Cloths, 3 Wet Cloths)","Swiffer® Sweeper® Dry + Wet Starter Kit, 46"" x 10"" x 8"", Silver/Green",0,11.97,38.68,HomeDepot,0.3094622543950362,26.71
x0856957005298,iLIVING 800 CFM Power 12 in. Variable Speed Shutter Exhaust Fan,"iLIVING 12"" Variable Speed Shutter Exhaust Fan, Wall-Mounted",0,74.12,74.12,0,HomeDepot,1.0,0.0
x041333048642,Duracell Coppertop Alkaline AA Battery (10-Pack),0,DURACELL COPPERTOP BATT AA 10PK,8.98,0,31.77,HomeDepot,0.28265659427132517,22.79
x0646541001825,Mityvac Digital Compression Test Kit,Mityvac MV5532 Digital Compression Test Kit,Mityvac (MITMV5532),112.35,112.35,110.91,Ebay,0.9871829105473966,1.4399999999999977
x0707773440551,ACDelco Vapor Canister Vent Solenoid,"ACDelco Valve Assembly Evaporative Emission, #214-2149",AC DELCO 214-2149 Vapor Canister Purge Solenoid Valve for Chevy GMC Cadillac,17.76,17.76,24.43,HomeDepot,1.0,0.0
x0821808431113,Bestway 75 in. x 70 in. / 1.91 m x 1.78 m X3 Island,Bestway CoolerZ X3 Inflatable Island,Bestway 3-Person Floating Water Island Lounge Raft With Open Bottom 43111E,32.33,32.99,44.93,HomeDepot,0.9799939375568353,0.6600000000000037
x049542106221,SAVOGRAN 4.5 lbs. Box TSP Heavy Duty Cleaner,SAVOGRAN CO TSP 5-lb. Cleaner 10622,Savogran 10622 TSP 5-lb. Cleaner,9.96,18.65,32.34,HomeDepot,0.5340482573726543,8.689999999999998
x0036000057010,WYPALL L40 White Quarterfold Wipers (56-Count),"Wypall, KCC05701PK, L40 All-Purpose Wipers, 56 / Pack, White",WypAll&reg; L40 Towels,6.25,11.60,107.08,HomeDepot,0.5387931034482759,5.35
x0073502034170,Hoover 32 oz. 2X Tile and Grout Plus Ceramic and Stone Tile Cleaning Solution,"Hoover 2X FloorMate Tile and Grout Plus Hard Floor Cleaning Solution, 32 Oz",Hoover 32 Ounce Tile and Grout Plus 2x Hard Floor Scented Cleaner Solution,7.35,8.49,10.13,HomeDepot,0.8657243816254416,1.1400000000000006
